SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude
崙背,雲林縣,59,細懸浮微粒,普通,2.8,0.21,0.3,31,27,38,18,7.9,8.9,1,1.8,32,2018-11-29 05:00,19,37,3,120.348742,23.757547
富貴角,新北市,61,臭氧八小時,普通,0.4,0.14,0.1,56,58,39,8,1.4,1.7,0.2,6.5,66,2018-11-29 05:00,13,42,1,121.536763,25.298562
麥寮,雲林縣,67,細懸浮微粒,普通,8.1,0.31,0.3,24,31,47,23,20,22,1.4,3.6,3.3,2018-11-29 05:00,22,44,4,120.251825,23.753506
關山,臺東縣,31,,良好,1.5,-,,38,34,9,5,0.9,2.3,1.4,2.3,105,2018-11-29 05:00,8,10,2,121.161933,23.045083
馬公,澎湖縣,61,臭氧八小時,普通,0.6,0.16,0.2,61,58,35,16,2.1,2.9,0.9,5.5,17,2018-11-29 05:00,16,34,2,119.566158,23.569031
金門,金門縣,118,細懸浮微粒,對敏感族群不健康,3.9,0.29,0.3,47,46,58,44,8.1,9.1,1,3.2,40,2018-11-29 05:00,42,70,5,118.312256,24.432133
馬祖,連江縣,103,細懸浮微粒,對敏感族群不健康,2.3,0.23,0.2,63,65,64,40,2.2,2.5,0.4,1.2,322,2018-11-29 05:00,36,58,2,119.949875,26.160469
埔里,南投縣,43,,良好,1.9,0.26,0.3,3.2,9,29,10,11,13,1.8,0.4,36,2018-11-29 05:00,13,30,1,120.967903,23.968842
復興,高雄市,85,細懸浮微粒,普通,3.8,0.51,0.6,1.1,2,58,28,24,33,8.8,0.6,129,2018-11-29 05:00,29,61,4,120.312017,22.608711
永和,新北市,54,細懸浮微粒,普通,2.2,0.18,0.3,48,41,28,11,5.3,5.5,0.2,1.6,100,2018-11-29 05:00,17,30,2,121.516306,25.017
竹山,南投縣,77,細懸浮微粒,普通,2.1,0.4,0.5,3.6,2,38,22,18,18,0.8,0.8,341,2018-11-29 05:00,26,43,2,120.677306,23.756389
中壢,桃園市,39,,良好,2.1,0.27,0.5,41,34,32,12,8.5,10,2,1,13,2018-11-29 05:00,11,42,4,121.221667,24.953278
三重,新北市,52,懸浮微粒,普通,1.9,0.5,0.8,-,,46,9,22,38,16,,,2018-11-29 05:00,15,57,3,121.493806,25.072611
冬山,宜蘭縣,41,,良好,0.6,0.19,0.2,32,39,30,15,5.4,6.2,0.8,1.6,277,2018-11-29 05:00,13,31,1,121.792928,24.632203
